PrimaryCategory,Categories,Category,Type,Subtype,Date,Month,Year,Institute,Title,abbr.,Paper_link,Abstract,code,Publication,BibTex,Authors,_tasks
cs.MA,cs.MA,Method,Multiagent Systems,,2026-04-17,4,2026,,Veritas-RPM: Provenance-Guided Multi-Agent False Positive Suppression for Remote Patient Monitoring,,http://arxiv.org/abs/2604.16081v1,"We present Veritas-RPM, a provenance-guided multi-agent architecture comprising five processing layers: VeritasAgent (ground-truth assembly), SentinelLayer (anomaly detection), DirectorAgent (specialist routing), six domain Specialist Agents, and MetaSentinelAgent (conflict resolution and final decision). We construct a 98-case synthetic taxonomy of false-positive scenarios derived from documented RPM patterns. Synthetic patient epochs (n = 530) were generated directly from taxonomy parameters and processed through the pipeline. Ground-truth labels are known for all cases. Performance is reported as True Suppression Rate (TSR), False Escalation Rate (FER), and Indeterminate Rate (INDR).",,,"@article{misro2026veritasrpm,
  title={Veritas-RPM: Provenance-Guided Multi-Agent False Positive Suppression for Remote Patient Monitoring},
  author={Aswini Misro and Vikash Sharma and Shreyank N Gowda},
  journal={arXiv preprint arXiv:2604.16081v1},
  year={2026},
  url={http://arxiv.org/abs/2604.16081v1}
}","Aswini Misro, Vikash Sharma, Shreyank N Gowda",
cs.MA,cs.MA;cs.CV,Method,Multiagent Systems,Computer Vision,2026-04-17,4,2026,,AstroVLM: Expert Multi-agent Collaborative Reasoning for Astronomical Imaging Quality Diagnosis,,http://arxiv.org/abs/2604.16024v1,"Vision Language Models (VLMs) have been applied to several specific domains and have shown strong problem-solving capabilities. However, astronomical imaging, a quite complex problem involving multidisciplinary knowledge and several subtasks, has not been adequately studied. Due to the complexity of the astronomical imaging process, both world-class astronomical organizations, such as NASA, and expert enthusiasts devote a great deal of time and effort. This is because the processes in astronomical imaging have complex underlying correlations that significantly influence one another, making the quality diagnosis and error localization of astronomical images challenging. To address this problem, we propose AstroVLM, a collaborative multi-agent system for diagnosing the quality of astronomical images. Experiment results show that AstroVLM outperforms all baselines on real-world astronomical imaging quality diagnosis tasks, providing a reference for language models to handle complicated multi-process tasks.",,,"@article{han2026astrovlm,
  title={AstroVLM: Expert Multi-agent Collaborative Reasoning for Astronomical Imaging Quality Diagnosis},
  author={Yaohui Han and Tianshuo Wang and Zixi Zhao and Zhengchun Zhu and Shuo Ren and Yiru Wang and Rongliang Fu and Tinghuan Chen and Tsung-Yi Ho},
  journal={arXiv preprint arXiv:2604.16024v1},
  year={2026},
  url={http://arxiv.org/abs/2604.16024v1}
}","Yaohui Han, Tianshuo Wang, Zixi Zhao, Zhengchun Zhu, Shuo Ren, Yiru Wang, Rongliang Fu, Tinghuan Chen, Tsung-Yi Ho",
cs.MA,cs.MA,Method,Multiagent Systems,,2026-04-17,4,2026,,Scalable Algorithms with Provable Optimality Bounds for the Multiple Watchman Route Problem,,http://arxiv.org/abs/2604.15610v1,"In this paper, we tackle the Multiple Watchman Route Problem (MWRP), which aims to find a set of paths that M watchmen can follow such that every location on the map can be seen by at least one watchman. First, we propose multiple methods to reduce the state space over which a search needs to be conducted by pruning map areas that are guaranteed to be seen en route to other areas. Next, we introduce MWRP-CP3, an efficient optimal planner that combines these methods with techniques that improve the quality and calculation time of existing heuristics. We present several suboptimal algorithms with bounds on solution quality, including MxWA*, a general variant of weighted A* for makespan problems. We also present anytime variations of our suboptimal algorithms, as well as techniques to improve an existing suboptimal solution by solving multiple decomposed sub-problems. We show that MWRP-CP3 can reduce the search space by more than 95% and runs more than 200x faster than existing optimal algorithms on 2D grid maps. We also show that our suboptimal algorithms solve maps 3x larger than those solvable by MWRP-CP3. See mwrp-cp3.github.io for the open source codebase and video demonstrations.",,,"@article{gouru2026scalable,
  title={Scalable Algorithms with Provable Optimality Bounds for the Multiple Watchman Route Problem},
  author={Srikar Gouru and Ariel Felner and Jiaoyang Li},
  journal={arXiv preprint arXiv:2604.15610v1},
  year={2026},
  url={http://arxiv.org/abs/2604.15610v1}
}","Srikar Gouru, Ariel Felner, Jiaoyang Li",
cs.MA,cs.MA,Method,Multiagent Systems,,2026-04-16,4,2026,,"FedGUI: Benchmarking Federated GUI Agents across Heterogeneous Platforms, Devices, and Operating Systems",,http://arxiv.org/abs/2604.14956v1,"Training GUI agents with traditional centralized methods faces significant cost and scalability challenges. Federated learning (FL) offers a promising solution, yet its potential is hindered by the lack of benchmarks that capture real-world, cross-platform heterogeneity. To bridge this gap, we introduce FedGUI, the first comprehensive benchmark for developing and evaluating federated GUI agents across mobile, web, and desktop platforms. FedGUI provides a suite of six curated datasets to systematically study four crucial types of heterogeneity: cross-platform, cross-device, cross-OS, and cross-source. Extensive experiments reveal several key insights: First, we show that cross-platform collaboration improves performance, extending prior mobile-only federated learning to diverse GUI environments; Second, we demonstrate the presence of distinct heterogeneity dimensions and identify platform and OS as the most influential factors. FedGUI provides a vital foundation for the community to build more scalable and privacy-preserving GUI agents for real-world deployment. Our code and data are publicly available at https://github.com/wwh0411/FedGUI..",https://github.com/wwh0411/FedGUI,"ACL 2026 Findings, Camera Ready","@article{wang2026fedgui,
  title={FedGUI: Benchmarking Federated GUI Agents across Heterogeneous Platforms, Devices, and Operating Systems},
  author={Wenhao Wang and Haoting Shi and Mengying Yuan and Yiquan Lin and Panrong Tong and Hanzhang Zhou and Guangyi Liu and Pengxiang Zhao and Yue Wang and Siheng Chen},
  journal={arXiv preprint arXiv:2604.14956v1},
  year={2026},
  url={http://arxiv.org/abs/2604.14956v1}
}","Wenhao Wang, Haoting Shi, Mengying Yuan, Yiquan Lin, Panrong Tong, Hanzhang Zhou, Guangyi Liu, Pengxiang Zhao, Yue Wang, Siheng Chen",
cs.MA,cs.MA;cs.AI;cs.IT;cs.LG,Method,Multiagent Systems,Artificial Intelligence; cs.IT; Machine Learning,2026-04-15,4,2026,,InfoChess: A Game of Adversarial Inference and a Laboratory for Quantifiable Information Control,,http://arxiv.org/abs/2604.15373v1,"We propose InfoChess, a symmetric adversarial game that elevates competitive information acquisition to the primary objective. There is no piece capture, removing material incentives that would otherwise confound the role of information. Instead, pieces are used to alter visibility. Players are scored on their probabilistic inference of the opponent's king location over the duration of the game. To explore the space of strategies for playing InfoChess, we introduce a hierarchy of heuristic agents defined by increasing levels of opponent modeling, and train a reinforcement learning agent that outperforms these baselines. Leveraging the discrete structure of the game, we analyze gameplay through natural information-theoretic characterizations that include belief entropy, oracle cross entropy, and predictive log score under the action-induced observation channel. These measures disentangle epistemic uncertainty, calibration mismatch, and uncertainty induced by adversarial movement. The design of InfoChess renders it a testbed for studying multi-agent inference under partial observability. We release code for the environment and agents, and a public interface to encourage further study.",,Adaptive and Learning Agents Workshop,"@article{murphy2026infochess,
  title={InfoChess: A Game of Adversarial Inference and a Laboratory for Quantifiable Information Control},
  author={Kieran A. Murphy},
  journal={arXiv preprint arXiv:2604.15373v1},
  year={2026},
  url={http://arxiv.org/abs/2604.15373v1}
}",Kieran A. Murphy,
cs.MA,cs.MA,Method,Multiagent Systems,,2026-04-15,4,2026,,[COMP25] The Automated Negotiating Agents Competition (ANAC) 2025 Challenges and Results,ANAC,http://arxiv.org/abs/2604.13914v1,"This paper presents the primary research challenges and key findings from the 15th International Automated Negotiating Agents Competition (ANAC 2025), one of the official competitions of IJCAI 2025. We focus on two critical domains: multi-deal negotiations and the development of agents capable of concurrent negotiation within complex supply chain management environments. Furthermore, this work analyzes the results of the competition and outlines strategic directions for future iterations.",,IJCAI 2026,"@article{aydoan2026comp,
  title={[COMP25] The Automated Negotiating Agents Competition (ANAC) 2025 Challenges and Results},
  author={Reyhan Aydoğan and Tim Baarslag and Tamara C. P. Florijn and Katsuhide Fujita and Catholijn M. Jonker and Yasser Mohammad},
  journal={arXiv preprint arXiv:2604.13914v1},
  year={2026},
  url={http://arxiv.org/abs/2604.13914v1}
}","Reyhan Aydoğan, Tim Baarslag, Tamara C. P. Florijn, Katsuhide Fujita, Catholijn M. Jonker, Yasser Mohammad",
cs.MA,cs.MA;cs.AI;cs.CE,Method,Multiagent Systems,Artificial Intelligence; cs.CE,2026-04-15,4,2026,,MIND: AI Co-Scientist for Material Research,,http://arxiv.org/abs/2604.13699v1,"Large language models (LLMs) have enabled agentic AI systems for scientific discovery, but most approaches remain limited to textbased reasoning without automated experimental verification. We propose MIND, an LLM-driven framework for automated hypothesis validation in materials research. MIND organizes the scientific discovery process into hypothesis refinement, experimentation, and debate-based validation within a multi-agent pipeline. For experimental verification, the system integrates Machine Learning Interatomic Potentials, particularly SevenNet-Omni, enabling scalable in-silico experiments. We also provide a web-based user interface for automated hypothesis testing. The modular design allows additional experimental modules to be integrated, making the framework adaptable to broader scientific workflows. The code is available at: https://github.com/IMMS-Ewha/MIND, and a demonstration video at: https://youtu.be/lqiFe1OQzN4.",https://github.com/IMMS-Ewha/MIND,"4 pages, 3 figures","@article{ahn2026mind,
  title={MIND: AI Co-Scientist for Material Research},
  author={Geonhee Ahn and Donghyun Lee and Hayoung Doo and Jonggeol Na and Hyunsoo Cho and Sookyung Kim},
  journal={arXiv preprint arXiv:2604.13699v1},
  year={2026},
  url={http://arxiv.org/abs/2604.13699v1}
}","Geonhee Ahn, Donghyun Lee, Hayoung Doo, Jonggeol Na, Hyunsoo Cho, Sookyung Kim",
cs.CV,cs.CV;cs.MA,Method,Computer Vision,Multiagent Systems,2026-04-14,4,2026,,A Multi-Agent Feedback System for Detecting and Describing News Events in Satellite Imagery,,http://arxiv.org/abs/2604.12772v1,"Changes in satellite imagery often occur over multiple time steps. Despite the emergence of bi-temporal change captioning datasets, there is a lack of multi-temporal event captioning datasets (at least two images per sequence) in remote sensing. This gap exists because (1) searching for visible events in satellite imagery and (2) labeling multi-temporal sequences require significant time and labor. To address these challenges, we present SkyScraper, an iterative multi-agent workflow that geocodes news articles and synthesizes captions for corresponding satellite image sequences. Our experiments show that SkyScraper successfully finds 5x more events than traditional geocoding methods, demonstrating that agentic feedback is an effective strategy for surfacing new multi-temporal events in satellite imagery. We apply our framework to a large database of global news articles, curating a new multi-temporal captioning dataset with 5,000 sequences. By automatically identifying imagery related to news events, our work also supports journalism and reporting efforts.",,,"@article{anderson2026a,
  title={A Multi-Agent Feedback System for Detecting and Describing News Events in Satellite Imagery},
  author={Madeline Anderson and Mikhail Klassen and Ash Hoover and Kerri Cahoy},
  journal={arXiv preprint arXiv:2604.12772v1},
  year={2026},
  url={http://arxiv.org/abs/2604.12772v1}
}","Madeline Anderson, Mikhail Klassen, Ash Hoover, Kerri Cahoy",
cs.CV,cs.CV;cs.AI;cs.MA,Method,Computer Vision,Artificial Intelligence; Multiagent Systems,2026-04-14,4,2026,,"ARGOS: Who, Where, and When in Agentic Multi-Camera Person Search",,http://arxiv.org/abs/2604.12762v1,"We introduce ARGOS, the first benchmark and framework that reformulates multi-camera person search as an interactive reasoning problem requiring an agent to plan, question, and eliminate candidates under information asymmetry. An ARGOS agent receives a vague witness statement and must decide what to ask, when to invoke spatial or temporal tools, and how to interpret ambiguous responses, all within a limited turn budget. Reasoning is grounded in a Spatio-Temporal Topology Graph (STTG) encoding camera connectivity and empirically validated transition times. The benchmark comprises 2,691 tasks across 14 real-world scenarios in three progressive tracks: semantic perception (Who), spatial reasoning (Where), and temporal reasoning (When). Experiments with four LLM backbones show the benchmark is far from solved (best TWS: 0.383 on Track 2, 0.590 on Track 3), and ablations confirm that removing domain-specific tools drops accuracy by up to 49.6 percentage points.",,CVPR 2026,"@article{kim2026argos,
  title={ARGOS: Who, Where, and When in Agentic Multi-Camera Person Search},
  author={Myungchul Kim and Kwanyong Park and Junmo Kim and In So Kweon},
  journal={arXiv preprint arXiv:2604.12762v1},
  year={2026},
  url={http://arxiv.org/abs/2604.12762v1}
}","Myungchul Kim, Kwanyong Park, Junmo Kim, In So Kweon",
cs.MA,cs.MA,Method,Multiagent Systems,,2026-04-13,4,2026,,VERITAS: Verifiable Epistemic Reasoning for Image-Derived Hypothesis Testing via Agentic Systems,,http://arxiv.org/abs/2604.12144v1,"Drawing meaningful conclusions from inherently multimodal clinical data (including medical imaging) requires coordinating expertise across the clinical specialty, radiology, programming, and biostatistics. This fragmented process bottlenecks discovery. We present VERITAS (Verifiable Epistemic Reasoning for Image-Derived Hypothesis Testing via Agentic Systems), a multi-agent system that autonomously tests natural-language hypotheses on multimodal clinical datasets while producing a fully auditable evidence trail: every statistical conclusion traces through inspectable, executable outputs from analysis plan to segmentation masks to statistical code to final verdict. VERITAS decomposes the workflow into four phases handled by role-specialized agents, and introduces an epistemic evidence label framework that mechanically classifies outcomes as Supported, Refuted, Underpowered, or Invalid by jointly evaluating significance, effect direction, and study power. This distinction is critical in medical imaging, where non-significant results often reflect insufficient sample size rather than absent effects. To evaluate the system, we construct a tiered benchmark of 64 hypotheses spanning six complexity levels across cardiac (ACDC, 150 subjects) and brain glioma (UCSF-PDGM, 501 subjects) MRI. VERITAS reaches 81.4% verdict accuracy with frontier models and 71.2% with locally-hosted open-weight models (8-30B), outperforming all five single-model baselines in both classes. It also produces the highest rate of independently verifiable statistical outputs (86.6%), so even its failures remain diagnosable through artifact inspection. Structured multi-agent decomposition thus substitutes for model scale while preserving the verifiability clinical research demands.",,"42 pages, 5 figures","@article{stoffl2026veritas,
  title={VERITAS: Verifiable Epistemic Reasoning for Image-Derived Hypothesis Testing via Agentic Systems},
  author={Lucas Stoffl and Benedikt Wiestler and Johannes C. Paetzold},
  journal={arXiv preprint arXiv:2604.12144v1},
  year={2026},
  url={http://arxiv.org/abs/2604.12144v1}
}","Lucas Stoffl, Benedikt Wiestler, Johannes C. Paetzold",
cs.MA,cs.MA;cs.LG;cs.RO;eess.SY,Method,Multiagent Systems,Machine Learning; Robotics; eess.SY,2026-04-13,4,2026,,Learning Probabilistic Responsibility Allocations for Multi-Agent Interactions,,http://arxiv.org/abs/2604.13128v1,"Human behavior in interactive settings is shaped not only by individual objectives but also by shared constraints with others, such as safety. Understanding how people allocate responsibility, i.e., how much one deviates from their desired policy to accommodate others, can inform the design of socially compliant and trustworthy autonomous systems. In this work, we introduce a method for learning a probabilistic responsibility allocation model that captures the multimodal uncertainty inherent in multi-agent interactions. Specifically, our approach leverages the latent space of a conditional variational autoencoder, combined with techniques from multi-agent trajectory forecasting, to learn a distribution over responsibility allocations conditioned on scene and agent context. Although ground-truth responsibility labels are unavailable, the model remains tractable by incorporating a differentiable optimization layer that maps responsibility allocations to induced controls, which are available. We evaluate our method on the INTERACTION driving dataset and demonstrate that it not only achieves strong predictive performance but also provides interpretable insights, through the lens of responsibility, into patterns of multi-agent interaction.",,,"@article{remy2026learning,
  title={Learning Probabilistic Responsibility Allocations for Multi-Agent Interactions},
  author={Isaac Remy and Caleb Chang and Karen Leung},
  journal={arXiv preprint arXiv:2604.13128v1},
  year={2026},
  url={http://arxiv.org/abs/2604.13128v1}
}","Isaac Remy, Caleb Chang, Karen Leung",
